Time,Type,Instrument
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:32,SELL,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:07,BUY,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:02,SELL,C
7/28/2022 13:01,SELL,C
7/28/2022 13:01,SELL,C
7/28/2022 12:50,BUY,C
7/28/2022 12:50,BUY,C
7/28/2022 12:50,BUY,C
7/28/2022 12:50,BUY,C
7/28/2022 12:50,BUY,C
7/28/2022 12:49,BUY,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:48,SELL,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:41,BUY,C
7/28/2022 12:40,SELL,C
7/28/2022 12:40,SELL,C
7/28/2022 12:40,SELL,C
7/28/2022 12:40,SELL,C
7/28/2022 12:40,SELL,C
7/28/2022 12:40,SELL,C
7/28/2022 11:57,BUY,C
7/28/2022 11:54,BUY,C
7/28/2022 11:54,BUY,C
7/28/2022 11:54,BUY,C
7/28/2022 11:53,BUY,C
7/28/2022 11:53,BUY,C
7/28/2022 11:53,BUY,C
7/28/2022 11:53,BUY,C
7/28/2022 11:47,BUY,C
7/28/2022 11:47,BUY,C
7/28/2022 11:46,BUY,C
7/28/2022 11:46,BUY,C
7/28/2022 11:46,BUY,C
7/28/2022 11:20,SELL,C
7/28/2022 11:20,SELL,C
7/28/2022 11:20,SELL,C
7/28/2022 11:20,SELL,C
7/28/2022 11:15,SELL,C
7/28/2022 11:15,SELL,C
7/28/2022 11:15,SELL,C
7/28/2022 11:15,SELL,C
7/28/2022 10:25,BUY,C
7/28/2022 10:25,BUY,C
7/28/2022 10:25,BUY,C
7/28/2022 10:20,BUY,C
7/28/2022 10:20,BUY,C
7/28/2022 10:14,SELL,C
7/28/2022 10:14,SELL,C
7/28/2022 10:02,BUY,C
7/28/2022 10:02,BUY,C
7/28/2022 10:02,BUY,C
7/28/2022 10:00,SELL,C
7/28/2022 10:00,SELL,C
7/28/2022 10:00,SELL,C
7/28/2022 9:48,BUY,C
7/28/2022 9:48,BUY,C
7/28/2022 9:48,BUY,C
7/28/2022 9:48,BUY,C
7/28/2022 9:48,BUY,C
7/28/2022 9:47,SELL,P
7/28/2022 9:47,SELL,P
7/28/2022 9:47,SELL,P
7/28/2022 9:47,SELL,P
7/28/2022 9:47,SELL,P
7/28/2022 9:47,BUY,P
7/28/2022 9:43,BUY,P
7/28/2022 9:43,BUY,P
7/28/2022 9:37,BUY,P
7/28/2022 9:37,BUY,P
7/28/2022 9:36,SELL,P
7/28/2022 9:35,SELL,P
7/28/2022 9:35,SELL,P
7/28/2022 9:34,BUY,P
7/28/2022 9:34,BUY,P
7/28/2022 9:30,SELL,C
7/28/2022 9:30,SELL,C
7/28/2022 9:27,BUY,C
7/28/2022 9:27,BUY,C
7/28/2022 9:24,SELL,C
7/28/2022 9:24,SELL,C
7/28/2022 9:22,BUY,C
7/28/2022 9:22,BUY,C
7/28/2022 9:15,SELL,P
7/28/2022 9:15,SELL,C
